SANTA CRUZ MOUNTAINS (ZO...,SANTA CRUZ MOUNTAINS (ZO...,CA,09/01/2020,0:00,PST-8,Wildfire,,0,0,0.00K,0.00K
SANTA CLARA VALLEY INCLU...,SANTA CLARA VALLEY INCLU...,CA,09/06/2020,13:00,PST-8,Excessive Heat,,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,09/07/2020,13:00,PST-8,Excessive Heat,,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,09/08/2020,4:10,PST-8,Strong Wind,35 kts. MG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,09/27/2020,13:50,PST-8,Strong Wind,29 kts. MG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,09/28/2020,2:10,PST-8,Strong Wind,30 kts. MG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,10/15/2020,1:30,PST-8,Strong Wind,39 kts. MG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,10/15/2020,1:50,PST-8,Strong Wind,43 kts. MG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,10/22/2020,6:40,PST-8,Strong Wind,35 kts. MG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,10/22/2020,8:40,PST-8,Strong Wind,35 kts. MG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,10/25/2020,19:30,PST-8,Strong Wind,39 kts. MG,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,10/25/2020,21:20,PST-8,Strong Wind,39 kts. MG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,10/25/2020,22:18,PST-8,Strong Wind,39 kts. MG,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,10/25/2020,22:20,PST-8,Strong Wind,39 kts. MG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,10/25/2020,23:19,PST-8,Strong Wind,43 kts. MG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,10/25/2020,23:50,PST-8,High Wind,52 kts. MG,0,0,0.00K,0.00K
SANTA CRUZ MOUNTAINS (ZO...,SANTA CRUZ MOUNTAINS (ZO...,CA,10/26/2020,1:00,PST-8,Strong Wind,43 kts. MG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,10/26/2020,3:30,PST-8,Strong Wind,39 kts. MG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,10/26/2020,6:30,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,11/06/2020,2:12,PST-8,Strong Wind,43 kts. MG,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,11/06/2020,2:19,PST-8,Strong Wind,36 kts. MG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,11/08/2020,7:45,PST-8,Strong Wind,35 kts. MG,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,11/08/2020,7:56,PST-8,Strong Wind,35 kts. MG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,11/08/2020,14:45,PST-8,Strong Wind,35 kts. MG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,12/07/2020,1:00,PST-8,Strong Wind,39 kts. MG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,12/07/2020,1:20,PST-8,Strong Wind,39 kts. MG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,12/07/2020,3:15,PST-8,High Wind,52 kts. MG,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,12/07/2020,6:00,PST-8,Strong Wind,39 kts. MG,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,12/14/2020,10:48,PST-8,Coastal Flood,,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,01/11/2021,10:30,PST-8,Coastal Flood,,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,01/12/2021,11:00,PST-8,Coastal Flood,,0,0,0.00K,0.00K
SANTA CRUZ MOUNTAINS (ZO...,SANTA CRUZ MOUNTAINS (ZO...,CA,01/18/2021,11:21,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,01/18/2021,15:10,PST-8,Strong Wind,43 kts. MG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,01/18/2021,18:50,PST-8,High Wind,35 kts. MS,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,01/18/2021,21:00,PST-8,Strong Wind,39 kts. MG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,01/19/2021,1:50,PST-8,High Wind,35 kts. MS,0,0,0.00K,0.00K
SANTA CRUZ MOUNTAINS (ZO...,SANTA CRUZ MOUNTAINS (ZO...,CA,01/19/2021,1:55,PST-8,High Wind,52 kts. EG,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,01/19/2021,2:30,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,01/19/2021,2:56,PST-8,Strong Wind,39 kts. MG,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,01/19/2021,3:33,PST-8,Strong Wind,39 kts. MG,0,0,0.00K,0.00K
SANTA CLARA VALLEY INCLU...,SANTA CLARA VALLEY INCLU...,CA,01/19/2021,5:11,PST-8,Strong Wind,43 kts. MG,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,01/19/2021,5:30,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
SANTA CRUZ MOUNTAINS (ZO...,SANTA CRUZ MOUNTAINS (ZO...,CA,01/19/2021,6:10,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
SANTA CRUZ MOUNTAINS (ZO...,SANTA CRUZ MOUNTAINS (ZO...,CA,01/19/2021,6:38,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
SANTA CLARA VALLEY INCLU...,SANTA CLARA VALLEY INCLU...,CA,01/19/2021,6:38,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,01/19/2021,7:00,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,01/19/2021,7:13,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,01/19/2021,7:36,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
SANTA CRUZ MOUNTAINS (ZO...,SANTA CRUZ MOUNTAINS (ZO...,CA,01/19/2021,8:02,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
SANTA CRUZ MOUNTAINS (ZO...,SANTA CRUZ MOUNTAINS (ZO...,CA,01/19/2021,8:05,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,01/19/2021,8:20,PST-8,Strong Wind,43 kts. MG,0,0,0.00K,0.00K
SANTA CRUZ MOUNTAINS (ZO...,SANTA CRUZ MOUNTAINS (ZO...,CA,01/19/2021,8:29,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,01/19/2021,8:42,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
SANTA CRUZ MOUNTAINS (ZO...,SANTA CRUZ MOUNTAINS (ZO...,CA,01/19/2021,8:51,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
SANTA CRUZ MOUNTAINS (ZO...,SANTA CRUZ MOUNTAINS (ZO...,CA,01/19/2021,9:42,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,01/19/2021,9:50,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
SANTA CRUZ MOUNTAINS (ZO...,SANTA CRUZ MOUNTAINS (ZO...,CA,01/19/2021,10:18,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,01/19/2021,12:21,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,01/19/2021,13:49,PST-8,Strong Wind,40 kts. EG,0,0,0.50K,0.00K
SANTA CRUZ MOUNTAINS (ZO...,SANTA CRUZ MOUNTAINS (ZO...,CA,01/19/2021,14:30,PST-8,Wildfire,,0,0,0.00K,0.00K
SANTA CLARA VALLEY INCLU...,SANTA CLARA VALLEY INCLU...,CA,01/26/2021,6:45,PST-8,Frost/freeze,,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,01/26/2021,19:00,PST-8,Strong Wind,43 kts. MG,0,0,0.00K,0.00K
SANTA CRUZ MOUNTAINS (ZO...,SANTA CRUZ MOUNTAINS (ZO...,CA,01/26/2021,19:00,PST-8,Winter Weather,,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,01/26/2021,19:18,PST-8,Strong Wind,43 kts. MG,0,0,0.00K,0.00K
SANTA CRUZ MOUNTAINS (ZO...,SANTA CRUZ MOUNTAINS (ZO...,CA,01/26/2021,19:30,PST-8,Strong Wind,43 kts. MG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,01/26/2021,20:00,PST-8,Strong Wind,39 kts. MG,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,01/26/2021,20:40,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
SANTA CLARA VALLEY INCLU...,SANTA CLARA VALLEY INCLU...,CA,01/26/2021,20:40,PST-8,Strong Wind,39 kts. MG,0,0,0.00K,0.00K
SANTA CLARA VALLEY INCLU...,SANTA CLARA VALLEY INCLU...,CA,01/26/2021,20:43,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,01/26/2021,20:45,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
SANTA CRUZ MOUNTAINS (ZO...,SANTA CRUZ MOUNTAINS (ZO...,CA,01/26/2021,21:02,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
SANTA CRUZ MOUNTAINS (ZO...,SANTA CRUZ MOUNTAINS (ZO...,CA,01/26/2021,21:15,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
SANTA CRUZ MOUNTAINS (ZO...,SANTA CRUZ MOUNTAINS (ZO...,CA,01/26/2021,21:28,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,01/26/2021,21:50,PST-8,Strong Wind,43 kts. MG,0,0,0.00K,0.00K
SANTA CRUZ MOUNTAINS (ZO...,SANTA CRUZ MOUNTAINS (ZO...,CA,01/26/2021,22:50,PST-8,High Wind,61 kts. MG,0,0,0.00K,0.00K
SANTA CLARA VALLEY INCLU...,SANTA CLARA VALLEY INCLU...,CA,01/26/2021,23:10,PST-8,Strong Wind,39 kts. MG,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,01/26/2021,23:30,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,01/27/2021,0:00,PST-8,Strong Wind,43 kts. MG,0,0,0.00K,0.00K
SAN JOSE,SANTA CLARA CO.,CA,01/27/2021,13:58,PST-8,Flood,,0,0,0.00K,0.00K
BURBANK,SANTA CLARA CO.,CA,01/27/2021,14:41,PST-8,Flood,,0,0,0.00K,0.00K
SANTA CLARA VALLEY INCLU...,SANTA CLARA VALLEY INCLU...,CA,01/27/2021,17:15,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
SANTA CLARA VALLEY INCLU...,SANTA CLARA VALLEY INCLU...,CA,01/27/2021,17:15,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
MADRONE,SANTA CLARA CO.,CA,01/27/2021,17:18,PST-8,Flood,,0,0,0.00K,0.00K
COYOTE,SANTA CLARA CO.,CA,01/27/2021,17:28,PST-8,Debris Flow,,0,0,0.00K,0.00K
