"","city","county","state","date","year","quarter","total_cases","new_cases","year_quarter"
"69","Houston","Harris County","TX",2022-03-31,2022,"1",1015850,363803,"2022 Q1"
"70","Houston","Harris County","TX",2022-06-30,2022,"2",1095501,79651,"2022 Q2"
"71","Houston","Harris County","TX",2022-09-30,2022,"3",1214670,119169,"2022 Q3"
"72","Houston","Harris County","TX",2022-12-31,2022,"4",1226840,12170,"2022 Q4"
"73","Houston","Harris County","TX",2023-03-31,2023,"1",1314237,87397,"2023 Q1"
"74","Houston","Harris County","TX",2023-06-30,2023,"2",1320367,6130,"2023 Q2"
"75","Houston","Harris County","TX",2023-07-23,2023,"3",1320367,0,"2023 Q3"
"76","Los Angeles","Los Angeles County","CA",2020-03-31,2020,"1",6386,6386,"2020 Q1"
"77","Los Angeles","Los Angeles County","CA",2020-06-30,2020,"2",118223,111837,"2020 Q2"
"78","Los Angeles","Los Angeles County","CA",2020-09-30,2020,"3",272802,154579,"2020 Q3"
"79","Los Angeles","Los Angeles County","CA",2020-12-31,2020,"4",828328,555526,"2020 Q4"
"80","Los Angeles","Los Angeles County","CA",2021-03-31,2021,"1",1184961,356633,"2021 Q1"
"81","Los Angeles","Los Angeles County","CA",2021-06-30,2021,"2",1209523,24562,"2021 Q2"
"82","Los Angeles","Los Angeles County","CA",2021-09-30,2021,"3",1394841,185318,"2021 Q3"
"83","Los Angeles","Los Angeles County","CA",2021-12-31,2021,"4",1675080,280239,"2021 Q4"
"84","Los Angeles","Los Angeles County","CA",2022-03-31,2022,"1",2703299,1028219,"2022 Q1"
"85","Los Angeles","Los Angeles County","CA",2022-06-30,2022,"2",2987017,283718,"2022 Q2"
"86","Los Angeles","Los Angeles County","CA",2022-09-30,2022,"3",3271401,284384,"2022 Q3"
"87","Los Angeles","Los Angeles County","CA",2022-12-31,2022,"4",3420119,148718,"2022 Q4"
"88","Los Angeles","Los Angeles County","CA",2023-03-31,2023,"1",3504352,84233,"2023 Q1"
"89","Los Angeles","Los Angeles County","CA",2023-06-30,2023,"2",3529436,25084,"2023 Q2"
"90","Los Angeles","Los Angeles County","CA",2023-07-23,2023,"3",3534088,4652,"2023 Q3"
"91","Manhattan","New York County","NY",2020-03-31,2020,"1",6539,6539,"2020 Q1"
"92","Manhattan","New York County","NY",2020-06-30,2020,"2",28447,21908,"2020 Q2"
"93","Manhattan","New York County","NY",2020-09-30,2020,"3",33561,5114,"2020 Q3"
"94","Manhattan","New York County","NY",2020-12-31,2020,"4",62562,29001,"2020 Q4"
"95","Manhattan","New York County","NY",2021-03-31,2021,"1",123363,60801,"2021 Q1"
"96","Manhattan","New York County","NY",2021-06-30,2021,"2",138742,15379,"2021 Q2"
"97","Manhattan","New York County","NY",2021-09-30,2021,"3",163785,25043,"2021 Q3"
"98","Manhattan","New York County","NY",2021-12-31,2021,"4",272872,109087,"2021 Q4"
