"year","quarter","market","unemployment_rate","pct_worked_from_home","mt","extreme_weather_num","hours_traffic","covid_cases","state_politics"
2020,1,"Austin",0.05,0.38045505554723,0.167502368721893,0,30,206,"republican"
2020,2,"Austin",0.115,0.38045505554723,0.227426895082245,5,30,8763,"republican"
2020,3,"Austin",0.0836666666666667,0.38045505554723,0.283033317931602,4,30,20452,"republican"
2020,4,"Austin",0.07,0.38045505554723,0.337033629262983,2,30,20773,"republican"
2021,1,"Austin",0.0656666666666667,0.339910001682812,0.380609972669972,8,35,28891,"republican"
2021,2,"Austin",0.06,0.339910001682812,0.396962464645168,6,35,5621,"republican"
2021,3,"Austin",0.0533333333333333,0.339910001682812,0.428363651828949,3,35,30402,"republican"
2021,4,"Austin",0.0466666666666667,0.339910001682812,0.465169536816933,2,35,19011,"republican"
2022,1,"Austin",0.041,0.299270444814965,0.4929172088333,7,53,87175,"republican"
2022,2,"Austin",0.038,0.299270444814965,0.511923506037656,3,53,23410,"republican"
2022,3,"Austin",0.0383333333333333,0.299270444814965,0.513214836335773,5,53,30827,"republican"
2022,4,"Austin",0.0403333333333333,0.299270444814965,0.517066802721399,6,53,5325,"republican"
2023,1,"Austin",0.0403333333333333,0.258772642452352,0.516663928105217,5,38,40748,"republican"
2023,2,"Austin",0.0396666666666667,0.258772642452352,0.517796248298932,9,38,2083,"republican"
2023,3,"Austin",0.039,0.258772642452352,0.517295501609825,5,38,0,"republican"
2023,4,"Austin",0.039,0.258772642452352,0.524247523556447,4,38,0,"republican"
2024,1,"Austin",0.039,0.218180337086238,0.54017350770921,5,39,0,"republican"
2024,2,"Austin",0.04,0.218180337086238,0.558497786592788,7,39,0,"republican"
2024,3,"Austin",0.041,0.218180337086238,0.577345840723364,1,39,0,"republican"
2020,1,"Chicago",0.051,0.244201207156209,0.0945858388011054,2,86,4496,"democrat"
2020,2,"Chicago",0.151333333333333,0.244201207156209,0.128406039959473,13,86,86040,"democrat"
